1,3,4,5,6,7
David Morrissey,Doug,,,,
Idris Elba,Ben,,,,
AnnaSophia Robb,Loren McConnell,,,,
Stephen Rea,Father Costigan,,,,
William Ragsdale,Sheriff Cade,,,,
John McConnell,Mayor Brooks,,,,
David Jensen,Jim Wakeman,,,,
Yvonne Landry,Brynn Wakeman,,,,
Samuel Garland,William Wakeman,,,,
Myles Cleveland,Kyle Wakeman,,,,
Andrea Frankle,Maddie McConnell,,,,
Mark Lynch,Brody McConnell,,,,
Stuart Greer,Gordon,,,,
Lara Grice,Isabelle,,,,
Robert Redford,Professor Stephen Malley,,,,
Meryl Streep,Janine Roth,,,,
Tom Cruise,Senator Jasper Irving,,,,
Michael Peña,Ernest Rodriguez,,,,
Andrew Garfield,Todd Hayes,,,,
Peter Berg,Lt. Col. Falco,,,,
Kevin Dunn,ANX Editor,,,,
Derek Luke,Arian Finch,,,,
Larry Bates,Soldier,,,,
Christopher May,Soldier,,,,
David Pease,Soldier,,,,
Heidi Janson,Soldier,,,,
Christopher Carley,Sniper,,,,
George Back,Student,,,,
Kristy Wu,Student,,,,
Robert Carlyle,Don,,,,
Rose Byrne,Scarlet,,,,
Jeremy Renner,Doyle,,,,
Harold Perrineau,Flynn,,,,
Catherine McCormack,Alice,,,,
Idris Elba,Stone,,,,
Imogen Poots,Tammy,,,,
Mackintosh Muggleton,Andy,,,,
Amanda Walker,Sally,,,,
Shahid Ahmed,Jacob,,,,
Garfield Morgan,Geoff,,,,
Emily Beecham,Karen,,,,
Beans El-Balawi,Boy in Cottage (as Beans Balawi),,,,
Meghan Popiel,DLR Soldier,,,,
Stewart Alexander,Military Officer,,,,
Jason Lee,Underdog (voice),,,,
Peter Dinklage,Dr. Simon Barsinister,,,,
Jim Belushi,Dan Unger,,,,
Patrick Warburton,Cad,,,,
Alex Neuberger,Jack,,,,
Taylor Momsen,Molly,,,,
John Slattery,Mayor,,,,
Amy Adams,Polly (voice),,,,
Brad Garrett,Riff Raff (voice),,,,
Samantha Bee,Principal,,,,
Timothy Crowe,Police Chief,,,,
Larry Vigus,Security Guard,,,,
Mario Mariani,Police Officer,,,,
Bates Wilder,Cop,,,,
Alexander 'Alex' Garde,Small Boy,,,,
Freddie Highmore,August Rush,,,,
Keri Russell,Lyla Novacek,,,,
Jonathan Rhys Meyers,Louis Connelly,,,,
Terrence Howard,Richard Jeffries,,,,
Robin Williams,Maxwell 'Wizard' Wallace,,,,
William Sadler,Thomas Novacek,,,,
Marian Seldes,The Dean,,,,
Mykelti Williamson,Reverend James,,,,
Leon Thomas III,Arthur,,,,
Aaron Staton,Nick,,,,
Alex O'Loughlin,Marshall,,,,
Jamia Simone Nash,Hope,,,,
Ronald Guttman,Professor,,,,
Bonnie McKee,Lizzy,,,,
Michael Drayer,Mannix,,,,
Tony Chiu-Wai Leung,Mr. Yee (as Tony Chiu Wai Leung),,,,
Wei Tang,Wong Chia Chi / Mrs. Mak,,,,
Joan Chen,Mrs. Yee,,,,
Leehom Wang,Kuang Yu Min,,,,
Tsung-Hua To,Old Wu,,,,
Zhi-Ying Zhu,Lai Shu Jin (as Chih-ying Chu),,,,
Ying-Hsuan Kao,Huang Lei,,,,
Lawrence Ko,Liang Jun Sheng (as Ko Yu-Luen),,,,
Johnson Yuen,Auyang Ling Wen / Mr. Mak,,,,
Kar Lok Chin,Tsao,,,,
Yan Su,Mrs. Ma,,,,
Saifei He,Mrs. Hsiao,,,,
Ruhui Song,Wang's Aunt,,,,
Hui-Ling Wang,Mrs. Liao,,,,
Jie Liu,Mrs. Leung,,,,
Steve Carell,Dan,,,,
Juliette Binoche,Marie,,,,
Dane Cook,Mitch,,,,
Alison Pill,Jane,,,,
Britt Robertson,Cara (as Brittany Robertson),,,,
Marlene Lawston,Lilly,,,,
Dianne Wiest,Nana,,,,
John Mahoney,Poppy,,,,
Norbert Leo Butz,Clay,,,,
Amy Ryan,Eileen,,,,
Jessica Hecht,Amy,,,,
Frank Wood,Howard,,,,
Henry Priest Miller,Will (as Henry Miller),,,,
Ella Miller,Rachel,,,,
CJ Adams,Elliot (as Cameron 'CJ' Adams),,,,
Robin Williams,Reverend Frank,,,,
Mandy Moore,Sadie Jones,,,,
John Krasinski,Ben Murphy,,,,
Eric Christian Olsen,Carlisle,,,,
Christine Taylor,Lindsey Jones,,,,
Josh Flitter,Choir Boy,,,,
DeRay Davis,Joel,,,,
Peter Strauss,Mr. Jones,,,,
Grace Zabriskie,Grandma Jones,,,,
Roxanne Hart,Mrs. Jones,,,,
Mindy Kaling,Shelly,,,,
Angela Kinsey,Judith the Jewelry Clerk,,,,
Rachael Harris,Janine,,,,
Brian Baumgartner,Jim,,,,
Jess Rosenthal,Jewelry Clerk,,,,
Diane Keaton,Daphne Wilder,,,,
Mandy Moore,Milly Wilder,,,,
Gabriel Macht,Johnny,,,,
Tom Everett Scott,Jason,,,,
Lauren Graham,Maggie,,,,
Piper Perabo,Mae,,,,
Stephen Collins,Joe,,,,
Ty Panitz,Lionel,,,,
Matt Champagne,Eli,,,,
Colin Ferguson,Derek,,,,
Tony Hale,Stuart,,,,
Sophina Brown,Milly's Staff #1 / Matisse,,,,
Karen Leigh Hopkins,Milly's Staff #2 / Charlie,,,,
Emily Maisano,Milly's Staff #3,,,,
Gerald Downey,Cousin Dougy's Friend,,,,
Jodie Foster,Erica Bain,,,,
Terrence Howard,Detective Mercer,,,,
Nicky Katt,Detective Vitale,,,,
Naveen Andrews,David Kirmani,,,,
Mary Steenburgen,Carol,,,,
Ene Oloja,Josai,,,,
Luis Da Silva Jr.,Lee,,,,
Blaze Foster,Cash,,,,
Rafael Sardina,Reed,,,,
Jane Adams,Nicole,,,,
Gordon MacDonald,Murrow,,,,
Zoë Kravitz,Chloe,,,,
John Magaro,Ethan,,,,
Victor Colicchio,Cutler,,,,
Jermel Howard,Thug on Subway,,,,
Halle Berry,Rowena Price,,,,
Bruce Willis,Harrison Hill,,,,
Giovanni Ribisi,Miles Haley,,,,
Richard Portnow,Narron,,,,
Gary Dourdan,Cameron,,,,
Florencia Lozano,Lieutenant Tejada,,,,
Nicki Aycox,Grace,,,,
Kathleen Chalfant,Elizabeth Clayton,,,,
Gordon MacDonald,Senator Sachs,,,,
Daniella Van Graas,Josie,,,,
Paula Miranda,Mia Hill,,,,
Patti D'Arbanville,Esmeralda,,,,
Clea Lewis,Gina,,,,
Amara Zaragoza,Bethany (as Tamara Feldman),,,,
Gerry Becker,Jon Kirshenbaum,,,,
Khalid Abdalla,Amir,,,,
Atossa Leoni,Soraya,,,,
Shaun Toub,Rahim Khan,,,,
Sayed Jafar Masihullah Gharibzada,Omar,,,,
Zekeria Ebrahimi,Young Amir,,,,
Ahmad Khan Mahmoodzada,Young Hassan,,,,
Mir Mahmood Shah Hashimi,Business Man in Baba's Study,,,,
Homayoun Ershadi,Baba,,,,
Nabi Tanha,Ali,,,,
Elham Ehsas,Young Assef,,,,
Bahram Ehsas,Wali,,,,
Tamim Nawabi,Kamal,,,,
Mohamad Nabi Attai,Uncle Saifo the Kite Seller,,,,
Mohamad Nadir Sarwari,Spice Merchant,,,,
Mustafa Haidari,Party Worker,,,,
Jordi Mollà,King Philip ll of Spain (as Jordi Molla),,,,
Aimee King,Infanta,,,,
Cate Blanchett,Queen Elizabeth I,,,,
Laurence Fox,Sir Christopher Hatton,,,,
John Shrapnel,Lord Howard,,,,
Geoffrey Rush,Sir Francis Walsingham,,,,
Susan Lynch,Annette,,,,
Elise McCave,Laundry Woman,,,,
Samantha Morton,Mary Stuart,,,,
Abbie Cornish,Bess Throckmorton,,,,
Penelope McGhie,Margaret,,,,
Rhys Ifans,Robert Reston,,,,
Eddie Redmayne,Thomas Babington,,,,
Stuart McLoughlin,Savage,,,,
Clive Owen,Sir Walter Raleigh,,,,
Jason Behr,Ethan Kendrick,,,,
Amanda Brooks,Sarah,,,,
Robert Forster,Jack,,,,
Craig Robinson,Bruce,,,,
Aimee Garcia,Brandy,,,,
Chris Mulkey,Agent Frank Pinsky,,,,
John Ales,Agent Judah Campbell,,,,
Elizabeth Peña,Agent Linda Perez (as Elizabeth Pena),,,,
Billy Gardell,Zoo Guard,,,,
Holmes Osborne,Hypnotherapist,,,,
NiCole Robinson,Psychiatrist,,,,
Geoff Pierson,Secretary of Defense (as Geoffrey Pierson),,,,
Cody Arens,Young Ethan,,,,
Kevin Breznahan,Reporter,,,,
Jody Carlson,Sarah's Mother (as Jody L. Carlson),,,,
Josh Hartnett,Eben Oleson,,,,
Melissa George,Stella Oleson,,,,
Danny Huston,Marlow,,,,
Ben Foster,The Stranger,,,,
Mark Boone Junior,Beau Brower,,,,
Mark Rendall,Jake Oleson,,,,
Amber Sainsbury,Denise,,,,
Manu Bennett,Billy Kitka,,,,
Megan Franich,Iris,,,,
Joel Tobeck,Doug Hertz,,,,
Elizabeth Hawthorne,Lucy Ikos,,,,
Nathaniel Lees,Carter Davies,,,,
Craig Hall,Wilson Bulosan,,,,
Chic Littlewood,Isaac Bulosan,,,,
Peter Feeney,John Riis,,,,
Columbus Short,DJ,,,,
Meagan Good,April,,,,
Ne-Yo,Rich Brown,,,,
Darrin Dewitt Henson,Grant (as Darrin Henson),,,,
Brian White,Sylvester,,,,
Laz Alonso,Zeke,,,,
Valarie Pettiford,Jackie,,,,
Jermaine Williams,Noel,,,,
Allan Louis,Dr. Palmer,,,,
Harry Lennix,Nate,,,,
Chris Brown,Duron,,,,
Oliver Ryan Best,Easy,,,,
Duain Richmond,Mark (as Richmond Duain Martyn),,,,
Justin Hires,Byron,,,,
Sahr Ngaujah,Harold,,,,
Nicolas Cage,Cris Johnson,,,,
Julianne Moore,Callie Ferris,,,,
Jessica Biel,Liz Cooper,,,,
Thomas Kretschmann,Mr. Smith,,,,
Tory Kittles,Cavanaugh,,,,
José Zúñiga,Security Chief Roybal (as Jose Zuniga),,,,
Jim Beaver,NSA Director Wisdom,,,,
Jason Butler Harner,Jeff Baines,,,,
Michael Trucco,Kendall,,,,
Enzo Cilenti,Mr. Jones,,,,
Laetitia Danielle,Miss Brown,,,,
Nicolas Pajon,Mr. Green,,,,
Sergej Trifunovic,Mr. White,,,,
Charles Rahi Chun,Davis (as Charles Chun),,,,
Patricia Prata,Showgirl,,,,
Daniel Day-Lewis,Daniel Plainview,,,,
Martin Stringer,Silver Assay Worker,,,,
Matthew Braden Stringer,Silver Assay Worker,,,,
Jacob Stringer,Silver Assay Worker,,,,
Joseph Mussey,Silver Assay Worker,,,,
Barry Del Sherman,H.B. Ailman,,,,
Harrison Taylor,Baby HW,,,,
Stockton Taylor,Baby HW,,,,
Paul F. Tompkins,Prescott,,,,
Dillon Freasier,HW,,,,
Kevin Breznahan,Signal Hill Man,,,,
Jim Meskimen,Signal Hill Married Man,,,,
Erica Sullivan,Signal Hill Woman,,,,
Randall Carver,Mr. Bankside,,,,
Coco Leigh,Mrs. Bankside,,,,
Jim Carrey,Walter Sparrow / Fingerling,,,,
Virginia Madsen,Agatha Sparrow / Fabrizia,,,,
Logan Lerman,Robin Sparrow,,,,
Danny Huston,Isaac French / Dr. Miles Phoenix,,,,
Lynn Collins,Suicide Blonde / Mrs. Dobkins / Young Fingerling's Mother,,,,
Rhona Mitra,Laura Tollins,,,,
Michelle Arthur,Sybil,,,,
Mark Pellegrino,Kyle Flinch,,,,
Paul Butcher,Young Fingerling / Young Walter,,,,
David Stifel,Hotel Clerk,,,,
Corey Stoll,Sergeant Burns,,,,
Ed Lauter,Father Sebastian,,,,
Troy Kotsur,Barnaby,,,,
Walter Soo Hoo,Chinese Restaurant Owner,,,,
Patricia Belcher,Dr. Alice Mortimer,,,,
Belén Rueda,Laura,,,,
Fernando Cayo,Carlos,,,,
Roger Príncep,Simón,,,,
Mabel Rivera,Pilar,,,,
Montserrat Carulla,Benigna,,,,
Andrés Gertrúdix,Enrique,,,,
Edgar Vivar,Prof. Leo Bálaban,,,,
Óscar Casas,Tomás,,,,
Mireia Renau,Laura niña,,,,
Georgina Avellaneda,Rita,,,,
Carla Gordillo,Martín,,,,
Alejandro Camps,Víctor,,,,
Carmen López,Alicia,,,,
Óscar Lara,Guillermo,,,,
Geraldine Chaplin,Aurora,,,,
Simon Pegg,Nicholas Angel,,,,
Martin Freeman,Met Sergeant,,,,
Bill Nighy,Met Chief Inspector,,,,
Robert Popper,'Not' Janine,,,,
Joe Cornish,Bob,,,,
Chris Waitt,Dave,,,,
Eric Mason,Bernard Cooper,,,,
Billie Whitelaw,Joyce Cooper,,,,
Nick Frost,PC Danny Butterman,,,,
Peter Wight,Roy Porter,,,,
Julia Deakin,Mary Porter,,,,
Tom Strode Walton,Underage Drinker #1,,,,
Troy Woollan,Underage Drinker #2,,,,
Rory Lowings,Underage Drinker #3,,,,
Bill Bailey,Sergeant Turner,,,,
Aaran Thomas,Young Hannibal,,,,
Gaspard Ulliel,Hannibal Lecter,,,,
Li Gong,Lady Murasaki (as Gong Li),,,,
Helena-Lia Tachovská,Mischa Lecter,,,,
Richard Leaf,Father Lecter,,,,
Dominic West,Inspector Popil,,,,
Rhys Ifans,Vladis Grutas,,,,
Michelle Wade,Nanny,,,,
Richard Brake,Enrikas Dortlich,,,,
Martin Hub,Lothar,,,,
Ingeborga Dapkunaite,Mother Lecter,,,,
Kevin McKidd,Petras Kolnas,,,,
Joerg Stadler,Berndt,,,,
Stephen Walters,Zigmas Milko,,,,
Ivan Marevich,Bronys Grentz,,,,
Sandra Bullock,Linda Hanson,,,,
Julian McMahon,Jim Hanson,,,,
Shyann McClure,Megan Hanson,,,,
Courtney Taylor Burness,Bridgette Hanson,,,,
Nia Long,Annie,,,,
Marc Macaulay,Sheriff Reilly,,,,
Kate Nelligan,Joanne,,,,
Irene Ziegler,Mrs. Quinn,,,,
Phillip DeVona,Funeral Attendant,,,,
Ritchie Montgomery,Funeral Attendant,,,,
Matt Moore,Young Priest,,,,
Amber Valletta,Claire,,,,
Peter Stormare,Dr. Roth,,,,
Laurel Whitsett,School Aide,,,,
Kristin Ketterer,Receptionist,,,,
Jake Gyllenhaal,Robert Graysmith,,,,
Mark Ruffalo,Inspector David Toschi,,,,
Anthony Edwards,Inspector William Armstrong,,,,
Robert Downey Jr.,Paul Avery,,,,
Brian Cox,Melvin Belli,,,,
John Carroll Lynch,Arthur Leigh Allen,,,,
Richmond Arquette,Zodiac 1 / Zodiac 2,,,,
Bob Stephenson,Zodiac 3,,,,
John Lacy,Zodiac 4,,,,
Chloë Sevigny,Melanie,,,,
Ed Setrakian,Al Hyman,,,,
John Getz,Templeton Peck,,,,
John Terry,Charles Thieriot,,,,
Candy Clark,Carol Fisher,,,,
Elias Koteas,Sgt. Jack Mulanax,,,,
Marion Cotillard,Edith Piaf,,,,
Sylvie Testud,Mômone,,,,
Pascal Greggory,Louis Barrier,,,,
Emmanuelle Seigner,Titine,,,,
Jean-Paul Rouve,Louis Gassion,,,,
Gérard Depardieu,Louis Leplée,,,,
Clotilde Courau,Anetta,,,,
Jean-Pierre Martins,Marcel Cerdan,,,,
Catherine Allégret,Louise,,,,
Marc Barbé,Raymond Asso,,,,
Caroline Silhol,Marlene Dietrich,,,,
Manon Chevallier,Edith - 5 years old,,,,
Pauline Burlet,Edith - 10 years old,,,,
Élisabeth Commelin,Danielle Bonel (as Elisabeth Commelin),,,,
Marc Gannot,Marc Bonel,,,,
Jamie Foxx,Ronald Fleury,,,,
Chris Cooper,Grant Sykes,,,,
Jennifer Garner,Janet Mayes,,,,
Jason Bateman,Adam Leavitt,,,,
Ashraf Barhom,Colonel Faris Al Ghazi,,,,
Ali Suliman,Sergeant Haytham,,,,
Jeremy Piven,Damon Schmidt,,,,
Richard Jenkins,Robert Grace,,,,
Tim McGraw,Aaron Jackson,,,,
Kyle Chandler,Francis Manner,,,,
Frances Fisher,Elaine Flowers,,,,
Danny Huston,Gideon Young,,,,
Kelly AuCoin,Ellis Leach,,,,
Anna Deavere Smith,Maricella Canavesio,,,,
Minka Kelly,Miss Ross,,,,
Kal Penn,Edward,,,,
Adam Campbell,Peter Pervertsky,,,,
Jennifer Coolidge,White Bitch,,,,
Jayma Mays,Lucy,,,,
Faune Chambers Watkins,Susan Pervertsky (as Faune Chambers),,,,
Crispin Glover,Willy Wonka,,,,
Tony Cox,Bink,,,,
Héctor Jiménez,Mr. Tumnus (as Hector Jimenez),,,,
Darrell Hammond,Captain Jack Swallows,,,,
Carmen Electra,Mystique,,,,
Fred Willard,Aslo,,,,
David Carradine,Museum Curator,,,,
Kevin McDonald,Harry Potter,,,,
George Alvarez,Ron Weasley,,,,
Crista Flanagan,Hermione Granger,,,,
Anthony Hopkins,Ted Crawford,,,,
Ryan Gosling,Willy Beachum,,,,
David Strathairn,DA Joe Lobruto,,,,
Rosamund Pike,Nikki Gardner,,,,
Embeth Davidtz,Jennifer Crawford,,,,
Billy Burke,Lt. Rob Nunally,,,,
Cliff Curtis,Detective Flores,,,,
Fiona Shaw,Judge Robinson,,,,
Bob Gunton,Judge Gardner,,,,
Josh Stamberg,Norman Foster,,,,
Xander Berkeley,Judge Moran,,,,
Zoe Kazan,Mona,,,,
Judith Scott,Resident,,,,
Gary Carlos Cervantes,Ciro (as Carlos Cervantes),,,,
Petrea Burchard,Dr. Marion Kang,,,,
Catherine Zeta-Jones,Kate,,,,
Aaron Eckhart,Nick,,,,
Abigail Breslin,Zoe,,,,
Patricia Clarkson,Paula,,,,
Jenny Wade,Leah,,,,
Bob Balaban,Therapist,,,,
Brían F. O'Byrne,Sean,,,,
Lily Rabe,Bernadette,,,,
Eric Silver,John,,,,
Arija Bareikis,Christine,,,,
John McMartin,Mr. Peterson,,,,
Celia Weston,Mrs. Peterson,,,,
Zoë Kravitz,Charlotte,,,,
Matthew Rauch,Ken,,,,
Dearbhla Molloy,Anna,,,,
Tom Wilkinson,Arthur Edens,,,,
Michael O'Keefe,Barry Grissom,,,,
Sydney Pollack,Marty Bach,,,,
Danielle Skraastad,Bridget Klein (voice),,,,
Tilda Swinton,Karen Crowder,,,,
George Clooney,Michael Clayton,,,,
Wai Chan,Chinese Dealer,,,,
Alberto Vazquez,Player #1,,,,
Brian Koppelman,Player #2,,,,
Tom McCarthy,Walter (voice),,,,
Denis O'Hare,Mr. Greer,,,,
Julie White,Mrs. Greer,,,,
Austin Williams,Henry Clayton,,,,
Jennifer Van Dyck,Ivy,,,,
Frank Wood,Gerald,,,,
Chris Evans,Casey (voice),,,,
Sarah Michelle Gellar,April O'Neil (voice),,,,
Mako,Splinter (voice),,,,
Kevin Smith,Diner Cook (voice),,,,
Patrick Stewart,Winters (voice),,,,
Ziyi Zhang,Karai (voice),,,,
Laurence Fishburne,Narrator (voice),,,,
Mitchell Whitfield,Donatello / Additional Voices (voice),,,,
James Arnold Taylor,Leonardo (voice),,,,
Mikey Kelley,Michelangelo (voice),,,,
Nolan North,Raphael / Nightwatcher (voice),,,,
John DiMaggio,Colonel Santino (voice),,,,
Paula Mattioli,General Serpiente (voice),,,,
Kevin Michael Richardson,General Aguila / Additional Voices (voice),,,,
Fred Tatasciore,General Gato / Additional Voices (voice),,,,
Mark Wahlberg,Bob Lee Swagger,,,,
Michael Peña,Nick Memphis,,,,
Danny Glover,Colonel Isaac Johnson,,,,
Kate Mara,Sarah Fenn,,,,
Elias Koteas,Jack Payne,,,,
Rhona Mitra,Alourdes Galindo,,,,
Jonathan Walker,Louis Dobbler,,,,
Louis Ferreira,Howard Purnell (as Justin Louis),,,,
Tate Donovan,Russ Turner,,,,
Rade Serbedzija,Michael Sandor (as Rade Sherbedgia),,,,
A.C. Peterson,Officer Stanley Timmons (as Alan C. Peterson),,,,
Ned Beatty,Senator Charles F. Meachum,,,,
Lane Garrison,Donnie Fenn,,,,
Zak Santiago,Senior Agent,,,,
Michael-Ann Connor,Junior Agent,,,,
Vince Vaughn,Fred Claus,,,,
Paul Giamatti,Nick 'Santa' Claus,,,,
John Michael Higgins,Willie,,,,
Miranda Richardson,Annette Claus,,,,
Rachel Weisz,Wanda,,,,
Kathy Bates,Mother Claus,,,,
Trevor Peacock,Papa Claus,,,,
Ludacris,DJ Donnie (as Chris 'Ludacris' Bridges),,,,
Elizabeth Banks,Charlene,,,,
Jeremy Swift,Bob Elf,,,,
Elizabeth Berrington,Linda Elf,,,,
Kevin Spacey,Clyde,,,,
Rio Hackford,Leon,,,,
Bobb'e J. Thompson,Samuel 'Slam' Gibbons,,,,
Allan Corduner,Dr. Goldfarb,,,,
Timothy Olyphant,Agent 47,,,,
Dougray Scott,Mike Whittier,,,,
Olga Kurylenko,Nika Boronina,,,,
Robert Knepper,Yuri Marklov,,,,
Ulrich Thomsen,Mikhail Belicoff,,,,
Henry Ian Cusick,Udre Belicoff,,,,
Michael Offei,Jenkins,,,,
Christian Erickson,General Kormarov,,,,
Eriq Ebouaney,Bwana Ovie,,,,
Joe Sheridan,Captain Gudnayev,,,,
James Faulkner,Smith Jamison,,,,
Jean-Marc Bellu,Hitman #2,,,,
Nicky Naudé,Hitman #3 (as Nicky Naude),,,,
Abdou Sagna,Hitman #4,,,,
Ilya Nikitenko,Hitman #5,,,,
,,,,,
Shia LaBeouf,Kale,,,,
Sarah Roemer,Ashley,,,,
Carrie-Anne Moss,Julie,,,,
David Morse,Mr. Turner,,,,
Aaron Yoo,Ronnie,,,,
Jose Pablo Cantillo,Officer Gutierrez,,,,
Matt Craven,Daniel Brecht,,,,
Viola Davis,Detective Parker,,,,
Brandon Caruso,Greenwood Boy,,,,
Luciano Rauso,Greenwood Boy,,,,
Daniel Caruso,Greenwood Boy,,,,
Kevin Quinn,Mr. Carlson,,,,
Elyse Mirto,Mrs. Carlson,,,,
Suzanne Rico,News Anchor,,,,
Kent Shocknek,News Anchor,,,,
Ben Stiller,Eddie,,,,
Malin Akerman,Lila,,,,
Michelle Monaghan,Miranda,,,,
Jerry Stiller,Doc,,,,
Rob Corddry,Mac,,,,
Carlos Mencia,Tito,,,,
Scott Wilson,Boo,,,,
Polly Holliday,Beryl,,,,
Danny McBride,Martin,,,,
Roy Jenkins,Buzz,,,,
Stephanie Courtney,Gayla,,,,
Amy Sloan,Deborah,,,,
Jerry Sherman,Grandpa Anderson,,,,
Lauren Bowles,Tammy,,,,
Nicholas Kromka,12 Year Old Twin,,,,
Saoirse Ronan,"Briony Tallis, aged 13",,,,
Ailidh Mackay,Singing Housemaid,,,,
Brenda Blethyn,Grace Turner,,,,
Julia West,Betty,,,,
James McAvoy,Robbie Turner,,,,
Harriet Walter,Emily Tallis,,,,
Keira Knightley,Cecilia Tallis,,,,
Juno Temple,Lola Quincey,,,,
Felix von Simson,Pierrot Quincey (as Felix Von Simson),,,,
Charlie von Simson,Jackson Quincey (as Charlie Von Simson),,,,
Alfie Allen,Danny Hardman,,,,
Patrick Kennedy,Leon Tallis,,,,
Benedict Cumberbatch,Paul Marshall,,,,
Peter Wight,Police Inspector,,,,
Leander Deeny,Police Constable,,,,
John Cusack,Mike Enslin,,,,
Tony Shalhoub,Sam Farrell,,,,
Len Cariou,Mike's Father,,,,
Isiah Whitlock Jr.,Hotel Engineer,,,,
Jasmine Jessica Anthony,Katie,,,,
Paul Birchard,Mr. Innkeeper,,,,
Margot Leicester,Mrs. Innkeeper,,,,
Walter Lewis,Book Store Cashier,,,,
Eric Meyers,Man #1 at Book Signing,,,,
David Nicholson,Man #2 at Book Signing,,,,
Holly Hayes,Lady at Book Signing,,,,
Alexandra Silber,Young Woman at Book Signing,,,,
Johann Urb,Surfer Dude,,,,
Andrew Lee Potts,Mailbox Guy,,,,
Emily Harvey,Secretary,,,,
Ian McKellen,Narrator (voice),,,,
Bimbo Hart,Young Scientist,,,,
Alastair MacIntosh,Victorian Academic,,,,
David Kelly,Guard,,,,
Ben Barnes,Young Dunstan Thorn,,,,
Kate Magowan,Slave Girl / Una,,,,
Melanie Hill,Ditchwater Sal,,,,
Charlie Cox,Tristan Thorn,,,,
Sienna Miller,Victoria,,,,
Henry Cavill,Humphrey,,,,
Nathaniel Parker,Dunstan Thorn,,,,
Darby Hawker,Grumpy Customer,,,,
Frank Ellis,Mr. Monday,,,,
Peter O'Toole,King,,,,
Mark Strong,Septimus,,,,
Josh Hutcherson,Jess Aarons,,,,
AnnaSophia Robb,Leslie Burke,,,,
Zooey Deschanel,Ms. Edmunds,,,,
Robert Patrick,Jack Aarons,,,,
Bailee Madison,May Belle Aarons,,,,
Kate Butler,Mary Aarons,,,,
Devon Wood,Brenda Aarons,,,,
Emma Fenton,Ellie Aarons,,,,
Grace Brannigan,Joyce Aarons,,,,
Latham Gaines,Bill Burke,,,,
Judy McIntosh,Judy Burke,,,,
Patricia Aldersley,Grandma Burke,,,,
Lauren Clinton,Janice Avery,,,,
Isabelle Rose Kircher,Carla,,,,
Cameron Wakefield,Scott Hoager,,,,
Tobin Bell,Jigsaw / John Kramer,,,,
Costas Mandylor,Lt. Mark Hoffman,,,,
Scott Patterson,Agent Peter Strahm,,,,
Betsy Russell,Jill Tuck,,,,
Lyriq Bent,Lt. Daniel Rigg,,,,
Athena Karkanis,Agent Lindsey Perez,,,,
Louis Ferreira,Art Blank (as Justin Louis),,,,
Simon Reynolds,Lamanna,,,,
Donnie Wahlberg,Eric Matthews,,,,
Angus Macfadyen,Jeff Denlon,,,,
Shawnee Smith,Amanda Young (archive footage),,,,
Bahar Soomekh,Lynn Denlon,,,,
Dina Meyer,Detective Allison Kerry,,,,
Mike Realba,Detective Fisk,,,,
Marty Adams,Ivan Landsness,,,,
Will Ferrell,Chazz Michael Michaels,,,,
Jon Heder,Jimmy MacElroy,,,,
Will Arnett,Stranz Van Waldenberg,,,,
Amy Poehler,Fairchild Van Waldenberg,,,,
Jenna Fischer,Katie Van Waldenberg,,,,
William Fichtner,Darren MacElroy,,,,
Craig T. Nelson,Coach,,,,
Romany Malco,Jesse,,,,
Nick Swardson,Hector,,,,
Scott Hamilton,Sports Anchor,,,,
Andy Richter,Mountie,,,,
Greg Lindsay,Mountie,,,,
Rob Corddry,Bryce,,,,
Nick Jameson,PA Announcer,,,,
Tom Virtue,Floor Manager,,,,
Hugh Grant,Alex Fletcher,,,,
Scott Porter,Colin Thompson,,,,
Nick Bacon,Pop Bass Player,,,,
Andrew Wyatt,Pop Guitar Player (as Andrew Wyatt Blakemore),,,,
Dan McMillan,Pop Drummer,,,,
Tom Foligno,Has-Beens Promo Announcer (voice),,,,
Zak Orth,David Newbert - TV Executive #1,,,,
Brooke Tansley,Janice Stern - TV Executive #2,,,,
Daniel Stewart Sherman,Willy,,,,
Brad Garrett,Chris Riley,,,,
Aasif Mandvi,Khan,,,,
Drew Barrymore,Sophie Fisher,,,,
Haley Bennett,Cora Corman,,,,
Matthew Morrison,Ray,,,,
Jason Antoon,Greg Antonsky,,,,
Dwayne Johnson,Joe Kingman (as Dwayne 'The Rock' Johnson),,,,
Madison Pettis,Peyton Kelly,,,,
Kyra Sedgwick,Stella Peck,,,,
Roselyn Sanchez,Monique Vasquez,,,,
Morris Chestnut,Travis Sanders,,,,
Hayes MacArthur,Kyle Cooper,,,,
Brian White,Jamal Webber,,,,
Jamal Duff,Clarence Monroe,,,,
Paige Turco,Karen Kelly,,,,
Tubbs,Spike,,,,
Gordon Clapp,Coach Mark Maddox,,,,
Kate Nauta,Tatianna,,,,
Robert Torti,"Samuel Blake, Jr.",,,,
Jackie Flynn,Larry the Doorman,,,,
Lauren Storm,Nanny Cindy,,,,
Milla Jovovich,Alice,,,,
Oded Fehr,Carlos Olivera,,,,
Ali Larter,Claire,,,,
Iain Glen,Dr. Isaacs,,,,
Ashanti,Betty,,,,
Christopher Egan,Mikey,,,,
Spencer Locke,K-Mart,,,,
Matthew Marsden,Slater,,,,
Linden Ashby,Chase,,,,
Jason O'Mara,Albert Wesker,,,,
Mike Epps,L.J.,,,,
