0,1
tt1413492,"Captain Mitch Nelson, Hal Spencer, Sam Diller, Gen. Dostum, Ben Milo, Sean Coffers, Vern Michaels, Pat Essex, Fred Falls, Scott Black"
tt6452574,"Sanjay Dutt 'Sanju', Sunil Dutt, Nargis Dutt, Kamlesh Kanhaiyalal Kapasi, Manyata Dutt, Winnie Dias, Ruby, Zubin Mistry, Pinky, Ruby's father & Dr. Asthana of Munna Bhai MBBS"
tt2126357,"Maya, Zoe, Joan, Anderson Clarke, Trey, Hildy Ostrander, Ariana, Chase, Ron Ebsen, Felix Herman"
tt6663582,"Drew, Little Girl, Vendor, Audrey, Morgan, Tess, Viktor, Friend in the Bar, Sebastian, Duffer"
tt7668870,"David Kim, Pamela Nam Kim, Young Margot (5 yrs), Young Margot (7 yrs), Young Margot (9 yrs), Margot, Peter, Michael Porter, Mrs. Shahinian (voice), Isaac's Mom (voice)"
tt5052474,"Alejandro, Matt Graver, Isabel Reyes, Steve Forsing, Cynthia Foards, Gallo, James Riley, Andy Wheeldon, Miguel Hernandez, Troy"
tt4218572,"Veronica, Harry Rawlings, Florek, Carlos, Jimmy Nunn, Linda, Xavy, Gracie (as Bailey Walters), Alice, Amanda"
tt6266538,"Dick Cheney, Lynne Cheney, Donald Rumsfeld, George W. Bush, Mary Cheney, Paul Wolfowitz, Scooter Libby, Condoleezza Rice, Kurt, Gerald Ford"
tt2854926,"Hogan 'Hoagie' Malloy, Reggie, Bob Callahan, Rebecca Crosby, Randy 'Chilli' Cilliano, Anna Malloy, Kevin Sable, Linda Malloy, Lou Seibert, Jerry Pierce"
tt7784604,"Peter, Steve, Annie, Charlie, Charlie's Teacher, Mr. Davies, Bridget, Brendan, Student #1, Student #2 (as Briann Rachele)"
tt1259528,"'Big Nick' O'Brien, Ray Merrimen, Donnie Wilson, Enson Levoux (as Curtis '50 Cent' Jackson), Holly, Benny 'Borracho' Magalon, Murph Connors, Bo 'Bosco' Ostroman, Gus Henderson, 'Tony Z' Zapata"
tt8404272,"Lu Ming, Gu Xiaojiao, Rest of cast listed alphabetically:, Potato farmer, Xiao Ya's husand, Xiao Ya, Shop manager, nan, Bar waiter, Intermediary agent Xiao Ma"
tt1571234,"Hester Shaw, Tom Natsworthy, Thaddeus Valentine, Anna Fang (as Jihae Kim), Bevis Pod, Katherine Valentine, Magnus Crome, Shrike, Chudleigh Pomeroy, Vambrace"
tt2296777,"Goons (voice), Irene (voice), Juliet (voice), Mankini (voice), Barry the Toilet Gnome (voice), Lord Redbrick (voice), Video Game Player (voice), Nimrod Captain (voice), Moriarty (voice), Sherlock Gnomes (voice)"
tt7349662,"Dr. Kennebrew Beauregard, Ron Stallworth, Mr. Turrentine, Chief Bridges, Officer Clay Mulaney, Officer Wheaton (as Arthur Nascarella), Sergeant Trapp, Master Patrolman Andy Landers, Flip Zimmerman, Jimmy Creek (as Michael Joseph Buscemi)"
tt5664636,"Kathy, Sarah, Sonny, Sam, Mr. Chu, Walter, Tyler, Tommy Madigan, Mrs. Carter, Cooper"
tt2531344,"Lisa, Mitchell, Hunter, Julie, Kayla, Sam, Angelica, Austin, Connor, Chad"
tt6791096,"Renee Bennett, Avery LeClaire, Grant Leclair, Ethan, Mason, Mallory, Vivian, Jane, Lilly Leclair, Tasha"
tt6772950,"Olivia Barron, Lucas Moreno, Markie Cameron, Brad Chang, Penelope Amari, Tyson Curran, Carter / Sam Meehan, Ronald 'Ronnie' Wakowski, Officer Han Chang, Giselle Hammond"
tt5083738,"Queen Anne, Lady Sarah, Queen's Maid, Sarah's Maid, Abigail, Wanking Man, Mrs Meg, Sally, Kitchen Servant, Godolphin"
tt7040874,"Stephanie Smothers, Nicky Nelson, Miles Smothers, Mrs. Kerry, Darren, Stacy, Sona, Sona's Daughter, Lulu, Emily Nelson"
tt4244998,"Keda, Tau, Sigma, Xi, Rho, Kappa, Nu, Shaman Woman, Narrator (voice), Rest of cast listed alphabetically:"
tt6857166,"Diane, Vivian, Sharon, Carol, Mitchell, Bruce, Arthur, Tom, George, Dr. Derek"
tt1213641,"Neil Armstrong, Janet Armstrong, Ed White, Deke Slayton, Buzz Aldrin, Elliot See, Dave Scott, Bob Gilruth, Pat White, James Lovell"
tt6466464,"Ying Luo, Tangseng, Sun Wukong, Shaseng (as Chung Him Law), Advisor, Hebo, Guanyin, nan, Warrior, Zhu Bajie"
tt2704998,"Max, Annie, Brooks, Sarah, Ryan, Kevin, Michelle, Gary, The Bulgarian, Donald Anderton"
tt1590193,"Michael MacCauley, Joanna, Alex Murphy, Walt, Captain Hawthorne, Karen MacCauley, Dylan, Vince, Tony, Eva"
tt7401588,"Pete, Ellie, Lizzy, Juan (as Gustavo Quiroz), Lita, Karen, Sharon, Russ, Kim, Linda (as Brittney Rentschler)"
tt2119543,"Jonathan Barnavelt, Florence Zimmerman, Lewis Barnavelt, Isaac Izard, Selena Izard, Mrs. Hanchett, Tarby Corrigan, Mother, Woody Mingo, Rose Rita Pottinger"
tt1620680,"Meg, Mrs. Which, Mrs. Whatsit, Mrs. Who, Calvin, Charles Wallace, Mr. Murry, Mrs. Murry, Happy Medium, Red"
tt6133466,"Dmitri, Nya, Isaiah, Dolores, Chief of Staff - Arlo Sabian, The Architect - Dr. Updale, Luisa, Selina, Skeletor, 7 & 7"
tt2873282,"Dominika Egorova, Nate Nash, Vanya Egorov, Matron, Stephanie Boucher, Zakharov, Nina Egorova, Marty Gable, General Korchnoi, Marta"
tt6921996,"MI7 Night Duty Agent, Prime Minister, Pegasus, Johnny English, Baggaley, Ibadulla, Straker, Dowling, Hattersley, Ridley"
tt5726086,"Elise Rainier, Specs, Tucker, Ted Garza, Imogen Rainier, Melissa Rainier, Gerald Rainier, Audrey Rainier, Anna, Young Elise Rainier"
tt7959026,"Earl Stone, Farmhand #3, Jose, Farmhand #2, Helen, Tim Kennedy, Computer Daylily Guy, Daylily Fan, MC, Iris"
tt5523010,"Clara, Fritz, Cook, Louise, Mr. Stahlbaum, Short Butler, Tall Butler, Drosselmeyer, Phillip, Jingles the Horse"
tt3766354,"Robert McCall, Dave York, Miles Whittaker, Sam Rubinstein, Brian Plummer, Susan Plummer, Resnik, Fatima, Ari, Kovac (as Garrett A. Golden)"
tt6343314,"Adonis Johnson, Rocky Balboa, Bianca, Mary Anne Creed, Ivan Drago, Viktor Drago (as Florian 'Big Nasty' Munteanu), Buddy Marcelle, Tony 'Little Duke' Burton, Robert Balboa, Logan Balboa"
tt6182908,"Migo (voice), Percy (voice), Meechee (voice), Stonekeeper (voice), Gwangi (voice), Dorgle (voice), Kolka (voice), Brenda (voice), Fleem (voice), Thorp (voice)"
tt3104988,"Rachel Chu, Nick Young, Eleanor Young, Astrid Young Teo, Ah Ma, Peik Lin Goh, Charlie Wu, Wye Mun Goh, Araminta Lee, Colin Khoo"
tt1365519,"Lara Croft, Richard Croft, Mathias Vogel, Lu Ren, Ana Miller, Mr. Yaffe, Lieutenant, Mercenary, Mercenary, Mercenary"
tt4500922,"Thomas, Minho, Teresa, Newt, Frypan, Gally, Aris, Brenda, Jorge, Ava Paige"
tt2557478,"Jake Pentecost, Nate Lambert, Amara Namani, Hermann Gottlieb, Dr. Newton Geiszler, Liwen Shao (as Jing Tian), Marshal Quan (as Max Zhang), Jules Reyes, Mako Mori, Cadet Suresh"
tt5758778,"Will Sawyer, Sarah Sawyer, Zhao Long Ji, Kores Botha, Mr. Pierce, Inspector Wu, Ben, Georgia Sawyer, Henry Sawyer, Xia"
tt6966692,"Tony Lip, Dr. Donald Shirley, Dolores, Johnny Venere, Oleg, George, Record Exec, Gio Loscudo, Copa Coat Check Girl, Bobby Rydell"
tt6644200,"Evelyn Abbott, Lee Abbott, Regan Abbott, Marcus Abbott, Beau Abbott, Man in the Woods, Rest of cast listed alphabetically:, Old Man's Dead Wife (uncredited)"
tt5028340,"Mary Poppins, Jack, Michael Banks, Jane Banks, Annabel, John, Georgie, Ellen, Cousin Topsy, Wilkins / Wolf"
tt5117670,"Peter Rabbit (voice), Mr. Tod (voice), Mr. Jeremy Fisher / Mr. Thomas McGregor, Mrs. Tiggy-Winkle (voice), Benjamin Bunny (voice), Old Mr. McGregor / Tommy Brock, Flopsy / The Narrator (voice), Mopsy (voice), Cotton-Tail (voice), Bea / Jemima Puddle-Duck"
tt6170484,"Tu Sigu (as Tony Chiu Wai Leung), Huo Xiaolan, Song Tianyin, Zhu Jinzhen, Yun Qing, nan, nan"
tt5814060,"Father Burke (as Demian Bichir), Sister Irene, Frenchie, The Nun, Sister Oana, Ed Warren, Lorraine Warren, Carolyn Perron, Sister Victoria, Sister Ruth"
tt4477536,"Anastasia Steele, Christian Grey, Jack Hyde, Kate Kavanagh, Mia Grey, Elliot Grey, José, Taylor, Carla, Grace Grey"
tt4633694,"Miles Morales (voice), Peter B. Parker (voice), Gwen Stacy (voice), Uncle Aaron (voice), Jefferson Davis (voice), Aunt May (voice), Rio Morales (voice), Mary Jane (voice), Spider-Ham (voice), Peni Parker (voice)"
tt3778644,"Han Solo, Chewbacca, Beckett, Qi'ra, Lando Calrissian, Val, L3-37, Dryden Vos, Rio Durant (voice), Enfys Nest"
tt4701182,"Charlie, Memo, Agent Burns, Otis, Sally, Ron, Tripp, Dr. Powell, General Whalen, Uncle Hank"
tt5220122,"Dracula (voice), Johnny (voice), Mavis (voice), Frankenstein (voice), Eunice (voice), Wayne (voice), Wanda (voice), Griffin (voice), Murray (voice), Van Helsing (voice)"
tt5848272,"Ralph (voice), Vanellope (voice), Shank (voice), Yesss (voice), Felix (voice), Calhoun (voice), KnowsMore (voice), Double Dan (voice), Mr. Litwak (voice), The Eboy (voice)"
tt4779682,"Jonas Taylor, Suyin (as Li Bingbing), Morris, Mac, Zhang, Meiying (as Sophia Cai), Jaxx, DJ, Heller, The Wall"
tt7752454,"Qin Feng / Chin Fong, Tang Ren, Song Yi, Chen Ying, Kiko, Lu Guofu, Noda Hiroshi, Dr. James Springfield, Aaimali Kunara, Rest of cast listed alphabetically:"
tt6878882,"Yang Rui, Gu Shun (as Huang Jingyu), Xia Nan, Xu Hong, Tong Li, Ina, Li Dong, Zhang Tiande, Lu Chen (as Guo Yubin), Zhuang Yu (as Henry Mai)"
tt1677720,"Parzival / Wade, Art3mis / Samantha, Sorrento, Aech / Helen, I-R0k, Curator / Ogden Morrow, Anorak / Halliday, Sho, Daito, F'Nale Zandor"
tt5095030,"Scott Lang / Ant-Man, Hope Van Dyne / Wasp, Luis, Sonny Burch, Paxton, Maggie, Dave (as Tip 'T.I.' Harris), Kurt, Ava / Ghost, Cassie"
tt4123430,"Grindelwald, Abernathy, Seraphina Picquery, Spielman, Newt Scamander, Leta Lestrange, Theseus Scamander, Torquil Travers, Arnold Guzman (as Cornell S. John), Credence Barebone"
tt5463162,"Wade Wilson / Deadpool / Voice of Juggernaut, Cable, Vanessa, Firefist, Domino, Weasel, Blind Al, Dopinder, Negasonic Teenage Warhead, Black Tom"
tt4912910,"Ethan Hunt, August Walker, Luther Stickell, Benji Dunn, Ilsa Faust, Solomon Lane, Erika Sloane, The White Widow, Julia, Erik"
tt1727824,"Freddie Mercury, Mary Austin, Brian May, Roger Taylor, John Deacon (as Joe Mazzello), John Reid, Paul Prenter, Jim Beach, Ray Foster, Jim Hutton"
tt1477834,"Arthur, Mera, Vulko, King Orm, Atlanna, King Nereus, Manta, Tom Curry, Captain Murk, Jesse (Manta's Father)"
tt3606756,"Bob Parr / Mr. Incredible (voice), Helen Parr / Elastigirl (voice), Violet Parr (voice), Dashiell Parr (Dash) (voice) (as Huckleberry Milner), Evelyn Deavor (voice), Jack-Jack Parr (voice), Winston Deavor (voice), Lucius Best / Frozone (voice), Tony Rydinger (voice), Voyd (voice)"
tt4881806,"Owen Grady, Claire Dearing, Eli Mills, Franklin Webb, Zia Rodriguez, Benjamin Lockwood, Mr. Eversoll, Ken Wheatley, Ian Malcolm, Dr. Wu"
tt1825683,"T'Challa / Black Panther, Erik Killmonger, Nakia, Okoye, Everett K. Ross, W'Kabi, Shuri, M'Baku, N'Jobu, Ramonda"
tt4154756,"Tony Stark / Iron Man, Thor, Bruce Banner / Hulk, Steve Rogers / Captain America, Natasha Romanoff / Black Widow, James Rhodes / War Machine, Doctor Strange, Peter Parker / Spider-Man, T'Challa / Black Panther, Gamora"
tt5580036,"Tonya, Jeff, LaVona, Diane Rawlinson, Shawn, Martin Maddox, Dody Teachman, Nancy Kerrigan, Tonya (3 1 / 2 Yrs), Tonya (8-12 Yrs)"
tt1389072,"Paul Safranek, Dusan Mirkovic, Ngoc Lan Tran, Audrey Safranek, Dr. Jorgen Asbjørnsen, Anne-Helene Asbjørnsen, Konrad, Dr. Andreas Jacobsen, Dave Johnson, Carol Johnson"
tt5606538,"Lim Cheol-ryung, Kang Jin-tae, Cha Gi-sung, Detective Squad Chief Pyo, So-yeon, Park Min-young (as Yoon-a Lim), Rest of cast listed alphabetically:, Sung Kang, Park Myung-ho (as Dong-Hwi Lee), Building reception man"
tt5462602,"Kumail, Emily, Beth, Terry, Azmat, Sharmeen, Naveed, CJ, Mary, Chris"
tt5294550,"Gail Harris, J. Paul Getty, Fletcher Chace, Cinquanta, Oswald Hinge, John Paul Getty III, John Paul Getty III (Age 7), John Paul Getty II, Mammoliti, Giovanni Iacovoni"
tt4131800,"Queen Novo (voice), Applejack / Rainbow Dash (voice), Code Red (voice), Tempest Shadow / Fizzlepop Berrytwist (voice), Princess Skystar (voice), Applebloom (voice), Capper (voice), Verko / Additional Voices (voice), Bulk Biceps / Canterlot & Klugetown Featured Voices (voice), Fluttershy / Pinkie Pie (voice)"
tt2334871,"Emily Middleton, Shopper, Lew, Shopper, Michael, Linda Middleton, Jeffrey Middleton, Taxi Driver, Man with Tray, Front Desk Clerk"
tt5001718,"Maddy, Olly, Pauline, Carla, Kayra, Rosa (as Danube R. Hermosillo), Joe, Mae, Astronaut, Mr. Waterman"
tt4795124,"Maximo, Sara, Hugo, Rick, Cindy, Arden, Celeste, Millicent, Peggy, Quincy"
tt4587656,"Bo (voice), Dave (voice), Ruth (voice), Mary (voice), Joseph (voice), Herod (voice), Thaddeus (voice), Rufus (voice), Leah (voice), Zach (voice)"
tt2226597,"Ben Bass, Alex Martin, Walter, Mark, Pamela, Airline Customer Service, Airline Rep, Female Patient (Mrs. Qabbani), Translator, Dinner Guest"
tt3486626,"Surly (voice), Precious (voice), Frankie (voice), Mayor Muldoon (voice), Heather (voice), Gunther (voice), Jimmy (voice) (as Gabriel 'Fluffy' Iglesias), Mole (voice), Johnny (voice), Jamie / Additional Voices (voice)"
tt1961175,"Mitch Rapp, Katrina, Bartender, Mansur Recruit Video, Adnan Al-Mansur, Martial Arts Instructor, Building Superintendent, NSA Techie, Khaled (as Yousef Sweid), American Operator (Mansur Compound)"
tt4925292,"Lady Bird McPherson, Marion McPherson, Larry McPherson, Danny O'Neill, Kyle Scheible, Julie Steffans, Sister Sarah Joan, Father Leviatch, Jenna Walton, Miguel McPherson"
tt6878038,"Man-seob / Kim, Peter, Tae-sul / Hwang, Jae-sik / Gu, Reporter Choi, Undercover Military Chief, Driver Cha, Driver Shin, Hong Yong-pyo, Driver Ryoo"
tt0498381,"Julia (as Matilda Lutz), Holt, Gabriel, Burke, Skye, Samara, Blue (as Chuck Willis), Jamal (as Patrick Walker), Carter, Faith (as Laura Slade Wiggins)"
tt5956100,"Tiger / Avinash Singh Rathore, Zoya, Sana, Theuban / Firdaus, Poorna, Namit, Rakesh, India's Ambassador to Iraq, Pawan, Garry"
tt2872518,"Mack Phillips, Papa, Willie, Nan Phillips, Kate Phillips, Josh Phillips, Missy Phillips (as Amelie Eve), Jesus, Sarayu, Sophia"
tt2406566,"Lorraine Broughton, David Percival, Spyglass, Emmett Kurzfeld, Eric Gray, Chief 'C', Aleksander Bremovych (as Roland Moller), Delphine Lasalle, Merkel, James Gasciogne"
tt6504014,"Carol (credit only), Extra (credit only), Best Man (credit only), Best Man, Grill Guy, Matthew (unconfirmed), Older Sister, Young Matthew, Liz, Allen"
tt3348730,"Logan Nelson, Jigsaw / John Kramer, Detective Halloran, Eleanor Bonneville, Detective Keith Hunt, Anna, Ryan, Mitch, Carly, Edgar Munsen"
tt6932778,"Kelly, Johnny, Rest of cast listed alphabetically:, Shopkeeper"
tt6152908,"Wu Kong, Wu Jing, Tang Sen (as Bai Ke), Bull King, Rest of cast listed alphabetically:, Tang Zong, Tang Chashu, Chilli Girl, Jin Jiao, Erlangshen"
tt1648190,"Walter, Roland, Jake, Steven, Soldier, Arra, Sayre, Pimli, Tirana, Laurie"
tt6108090,"Insia, Najma, Farookh, Shakti Kumar, Chintan, Guddu, Badi Apa, Ranjeet, Sheetal Mam, Himself"
tt3014284,"Master Wu / Mr. Liu (voice), Lloyd (voice), Cole (voice), Jay (voice), Kai (voice), Nya (voice), Zane (voice), Fuchsia Ninja (voice), Ninja Computer (voice), Garmadon (voice)"
tt5308322,"Tree Gelbman, Carter Davis, Lori Spengler, Gregory Butler, Stephanie Butler, David Gelbman, John Tombs, Danielle Bouseman, Keith Lumbly, Frat Brother"
tt2091256,"George (voice), Captain Underpants / Mr. Krupp (voice), Professor Poopypants (voice), Harold (voice), Melvin (voice), Edith (voice), Ms. Ribble (voice) (as Dee Dee Rescher), Mr. Rected (voice), Tommy (voice), Mr. Fyde (voice)"
tt6359956,"Amy, Kiki, Carla, Ruth, Isis, Sandy, Jessie, Ty Swindel, Hank, Jane"
tt3532216,"Barry Seal, Monty 'Schafer', Lucy Seal, Sheriff Downing, JB, Judy Downing, Dana Sibota, Jorge Ochoa, James Rangel, Agent Craig McCall"
tt3564472,"Ryan Pierce, Sasha Franklin, Lisa Cooper, Dina, Julian Stevens, Stewart Pierce, Elizabeth Davelli, Malik, Bethany, Simone"
tt1615160,"Fan, Quan Ngoc Minh, Ian Wood, Simpson, Denis Fisher, McCormick (as Caolán Byrne), Channel A News Anchor, Pat Nugent, Patrick O'Reilly, Liam Hennessy"
tt1972591,"Arthur, The Mage, Vortigern, Bedivere, Uther, Bill, Rubio, Percival, George, Wet Stick"
tt4555426,"Winston Churchill, Clemmie, King George VI, Elizabeth Layton, Neville Chamberlain, Viscount Halifax, Sir John Simon, Sir Anthony Eden, Clement Atlee, General Ismay"
tt6461514,"Xu Tailang, Xu Zhengtai (as Peng Yuyan), Xiao Hua (as Liying Zhao), Xiao Ma, Police director, Rest of cast listed alphabetically:, Female Teacher Chen, (archive footage), (archive footage), (archive footage)"
tt5027774,"Mildred, Red Welby, Pamela, Dixon, Latino, Latino #2, Jerome, Willoughby, Anne, Polly"
tt1469304,"Mitch Buchannon, Matt Brody, Victoria Leeds, Summer Quinn, CJ Parker, Stephanie Holden, Ronnie Greenbaum, Sgt. Ellerbee, Dave the Tech, Captain Thorpe"
tt6294822,"Kay Graham, Ben Bradlee, Tony Bradlee, Ben Bagdikian, Fritz Beebe, Arthur Parsons, Robert McNamara, Daniel Ellsberg, Lally Graham, Meg Greenfield"
tt4765284,"Beca, Fat Amy, Chloe, Aubrey, Emily, Cynthia Rose, Lilly, Jessica, Ashley, Flo"
tt5580390,"Elisa Esposito, Richard Strickland, Giles, Zelda Fuller, Dr. Robert Hoffstetler, Amphibian Man, Fleming, General Hoyt, Bernard, Mihalkov"
tt2398241,"Smurfette (voice), Gargamel (voice), Hefty Smurf (voice), Clumsy Smurf (voice), Brainy Smurf (voice), Papa Smurf (voice), Monty (voice), Azrael (voice), SmurfStorm (voice), SmurfBlossom (voice)"
tt4877122,"Gene (voice), Hi-5 (voice), Jailbreak (voice), Smiler (voice), Mel Meh (voice), Mary Meh (voice), Poop (voice) (as Sir Patrick Stewart), Akiko Glitter (voice), Flamenca (voice), Spam (voice)"
tt1981128,"Jake Lawson, Max Lawson, Sarah Wilson, Ute Fassbinder, Cheng Long, Al Hernandez, Ray Dussette, Eni Adisa, President Andrew Palma, Leonard Dekkom"
tt2239822,"Major Valerian, Sergeant Laureline, Commander Arun Filitt, Bubble, Jolly the Pimp, Defence Minister, Sergeant Neza, General Okto-Bar, Bob the Pirate, President of the World State Federation"
tt3890160,"Baby, Griff, Buddy, Darling, Barista, Debora, Street Preacher, Doc, Morse Diggs, Joseph"
tt2316204,"David / Walter, Daniels, Oram, Tennessee, Lope (as Demian Bichir), Karine, Ricks, Upworth, Faris, Hallett"
tt5273624,"Monk Tang Sanzang, The Monkey King, Sun Wukong (as Gengxin Lin), Minister, Felicity (as Jelly Lin), Pigsy (Zhu Ba Jie), Sandy (Sha Wujing), Spider (Qi Qin) (as Claudia Wang), King, handsome / young Pigsy (Zhu Ba Jie), Taoist exorcist (as Peng Da)"
tt4849438,"Amarendra Baahubali / Sivudu, Bhallaladeva, Devasena, Kattappa (as Sathya Raj), Sivagami (as Ramya Krishna), Avanthika (as Tamannaah), Bijjaladeva (as Nasser), Kumara Varma (as Subba Raju), King of Kunthala (as Meka Ramakhrisna), Rest of cast listed alphabetically:"
tt4217392,"Jack, Xiaoguang (as Lay Zhang), Nuomin (as Mu Qimiya), Ashmita, Jones (as Aarif Lee), Kyra, Randall, Max (as Paul Clark), Circe (as Circe Shang), Jiang Wen (as Coco Jiang)"
tt5052448,"Chris Washington, Rose Armitage, Missy Armitage, Dean Armitage, Jeremy Armitage, Walter, Georgina, Andre Logan King (as Keith Stanfield), Jim Hudson, Rod Williams"
tt1856101,"'K', Sapper Morton, Lieutenant Joshi, Interviewer, Angry Old Lady, Joi, Nandez, Coco, File Clerk, Luv"
tt7017420,"Sam  / ... 6 episodes, Meyers  5 episodes, Emma  5 episodes, Matthew  5 episodes, Tamz  3 episodes, Young Sammy  2 episodes, Actor waiting  2 episodes, Actor waiting  2 episodes, Hair Salon Stylist  2 episodes, Actor waiting  2 episodes"
tt3411444,"Young Valiente (voice), Young Guapo (voice), Young Bones (voice), Young Ferdinand (voice), Screaming Matador / Additional Voices (voice), Ferdinand's Father (voice), Valiente's Father / Valiente (voice), Moreno (voice), Ranch Hand #1 (voice), Juan (voice)"
tt2543472,"Auggie, Nate, Via, Isabel, Teenage Doctor, Nurse, Neonatologist, Mr. Tushman, Jack Will, Julian"
tt5140878,"Samuel Mullins, Bee, Esther Mullins, Victor Palmeri, Linda, Janice (as Talitha Bateman), Sister Charlotte, Father Massey, Carol, Nancy"
tt4116284,"Batman / Bruce Wayne (voice), Robin / Dick Grayson (voice), Batgirl / Barbara Gordon (voice), Alfred Pennyworth (voice), 'Puter (voice), Joker (voice), Harley Quinn (voice), Scarecrow (voice), The Riddler (voice), Bane (voice)"
tt6923388,nan
tt7535780,Reader (voice)
tt5726616,"Oliver, Elio, Mr. Perlman, Annella Perlman, Marzia, Chiara, Mafalda, Anchise, Bambi - Art Historian, Nico - Art Historian"
tt4465564,"Anastasia Steele, Christian Grey, Jack Hyde, Kate Kavanagh, Leila, Mia Grey, Elliot Grey, José, Taylor, Jerry Roach"
tt3606752,"Lightning McQueen (voice), Cruz Ramirez (voice), Smokey (voice), Sterling (voice), Mater (voice), Jackson Storm (voice), Dusty (voice), Luigi (voice), Sally (voice), Miss Fritter (voice)"
tt4649466,"Eggsy, Charlie, Kingsman Cab Driver, Merlin, Princess Tilde, Brandon, Liam, Jamal, Poppy, Charles"
tt1485796,"P.T. Barnum, Charity Barnum, Phillip Carlyle, Anne Wheeler, Jenny Lind, Caroline Barnum, Helen Barnum, Lettie Lutz, Tom Thumb, W.D. Wheeler"
tt3450958,"Caesar, The Colonel, Bad Ape, Maurice, Nova, Rocket, Red Donkey, Luca, Koba, Preacher"
tt5013056,"Tommy, French Soldier, Gibson, Grenadier, Irate Soldier, George, Mr. Dawson, Peter, Farrier, Collins"
tt3874544,"Boss Baby (voice), Francis Francis (voice), Dad (voice), Mom (voice), Adult Tim / Narrator (voice), Tim (voice), Wizzie / Elvis Impersonator (voice), Eugene (voice), Staci (voice) (as Viviann Yee), Triplets (voice)"
tt3731562,"James Conrad, Preston Packard, Mason Weaver, Hank Marlow, Bill Randa, Houston Brooks, Victor Nieves, San, Jack Chapman / Kong, Mills"
tt3371366,"Cade Yeager, Sir Edmund Burton, Colonel William Lennox, Vivian Wembley, Santos, Izabella, Jimmy, Merlin, Arthur, Lancelot"
tt0974015,"Batman / Bruce Wayne, Superman / Clark Kent, Lois Lane, Wonder Woman / Diana Prince, The Flash / Barry Allen, Aquaman / Arthur Curry, Cyborg / Victor Stone, Alfred, Martha Kent, Queen Hippolyta"
tt1396484,"Bill Denbrough (as Jaeden Lieberher), Ben Hanscom, Beverly Marsh, Richie Tozier, Mike Hanlon, Eddie Kaspbrak, Stanley Uris, Pennywise, Henry Bowers, Belch Huggins"
tt1790809,"Captain Jack Sparrow, Captain Salazar, Captain Hector Barbossa, Henry Turner, Carina Smyth, Gibbs (as Kevin R. McNally), Shansa, Scarfield, Scrum, Mullroy"
tt2380307,"Miguel (voice), Héctor (voice), Ernesto de la Cruz (voice), Mamá Imelda (voice), Abuelita (voice) (as Renée Victor), Papá (voice), Papá Julio (voice), Tío Oscar / Tío Felipe (voice), Clerk (voice), Plaza Mariachi / Gustavo (voice)"
tt0451279,"Diana, Steve Trevor, Hippolyta, Antiope, Ludendorff, Sir Patrick, Sameer, Charlie, The Chief, Etta"
tt3501632,"Thor, Loki, Hela, Heimdall, Grandmaster, Valkyrie, Skurge, Bruce Banner / Hulk, Odin, Doctor Strange"
tt3896198,"Peter Quill / Star-Lord, Gamora, Drax, Baby Groot (voice), Rocket (voice), Yondu, Nebula, Mantis, Stakar Ogord, Ego"
tt7131870,"Leng Feng, Big Daddy, Rachel Prescott Smith, He Jianguo, Zhuo Yifan, Bida Qian, Long Xiaoyun, Lin Zhixiong, Captain Zhang, Bear"
tt2250912,"Peter Parker / Spider-Man, Adrian Toomes / Vulture, Tony Stark / Iron Man, May Parker, Happy Hogan, Pepper Potts, Michelle, Aaron Davis, Ned, Liz"
