,Actors,Awards,BoxOffice,Country,DVD,Director,Error,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons
10,"Michael Douglas, Kathleen Turner, Danny DeVito, Marianne Sägebrecht",Nominated for 3 Golden Globes. Another 2 wins & 6 nominations.,N/A,USA,18 Dec 2001,Danny DeVito,,"Comedy, Romance",English,79,A married couple try everything to get each other to leave the house in a vicious divorce battle.,https://m.media-amazon.com/images/M/MV5BZGMxOWM5ZWQtYmYyOC00OGE2LWFhODItNzcyZmYyZDBhMjdkXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,Twentieth Century Fox Home Entertainment,R,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",08 Dec 1989,True,116 min,The War of the Roses,movie,N/A,"Warren Adler (novel), Michael Leeson (screenplay)",1989,tt0098621,6.8,"44,768",
11,"Timothy Dalton, Carey Lowell, Robert Davi, Talisa Soto",1 nomination.,N/A,"UK, Mexico, USA",22 Oct 2002,John Glen,,"Action, Adventure, Thriller","English, Spanish",58,"James Bond goes rogue and sets off to unleash vengeance on a drug lord who tortured his best friend, a C.I.A. Agent, and left him for dead and murdered his bride after he helped capture him.",https://m.media-amazon.com/images/M/MV5BODY3M2I0NGItYzJhNy00M2NiLThhMDgtNjZkNjA1NTQzMDM4XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,United Artists,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",14 Jul 1989,True,133 min,Licence to Kill,movie,N/A,"Michael G. Wilson, Richard Maibaum, Ian Fleming (characters)",1989,tt0097742,6.6,"86,771",
12,"Morgan Freeman, Jessica Tandy, Dan Aykroyd, Patti LuPone",Won 4 Oscars. Another 17 wins & 24 nominations.,N/A,USA,29 Apr 1997,Bruce Beresford,,Drama,"English, Hebrew",81,An old Jewish woman and her African-American chauffeur in the American South have a relationship that grows and improves over the years.,https://m.media-amazon.com/images/M/MV5BMDE2ZTY3YmUtZTFhYy00ZmU2LWI2NjktY2NmZGZlYjg5OGMwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Fathom Events,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",26 Jan 1990,True,99 min,Driving Miss Daisy,movie,http://www.broadwaynearyou.com/driving-miss-daisy/,"Alfred Uhry (screenplay), Alfred Uhry (play)",1989,tt0097239,7.4,"89,720",
13,"Michael Douglas, Andy Garcia, Ken Takakura, Kate Capshaw",Nominated for 2 Oscars. Another 1 win & 2 nominations.,N/A,"USA, Japan",16 Feb 1999,Ridley Scott,,"Action, Crime, Thriller","English, Japanese",56,Two NYC cops arrest a Yakuza member and must escort him when he's extradited to Japan.,https://m.media-amazon.com/images/M/MV5BYjZjZDU1OWItNjQ2YS00MGY4LWE0ODgtODlkMzU3ZjlmODkyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Paramount Home Video,R,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",22 Sep 1989,True,125 min,Black Rain,movie,N/A,"Craig Bolotin, Warren Lewis",1989,tt0096933,6.6,"45,744",
14,"Steve Martin, Mary Steenburgen, Dianne Wiest, Jason Robards",Nominated for 2 Oscars. Another 4 wins & 12 nominations.,N/A,USA,31 Mar 1998,Ron Howard,,"Comedy, Drama",English,82,"The Buckmans are a midwestern family all dealing with their lives: estranged relatives, raising children, pressures of the job, and learning to be a good parent and spouse.",https://m.media-amazon.com/images/M/MV5BMTQ3OTIwNzI2OV5BMl5BanBnXkFtZTgwNjgwNTcxMTE@._V1_SX300.jpg,MCA Universal Home Video,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",02 Aug 1989,True,124 min,Parenthood,movie,N/A,"Lowell Ganz (story), Babaloo Mandel (story), Ron Howard (story), Lowell Ganz (screenplay), Babaloo Mandel (screenplay)",1989,tt0098067,7.0,"41,351",
15,"Al Pacino, Ellen Barkin, John Goodman, Michael Rooker",Nominated for 1 Golden Globe. Another 3 nominations.,N/A,"USA, Canada",26 May 1998,Harold Becker,,"Crime, Drama, Mystery, Romance, Thriller",English,66,A detective investigating a series of murders becomes involved with a woman who may be the culprit.,https://m.media-amazon.com/images/M/MV5BYjk5MTY0NTYtZTgzMi00NjVlLTk5ZWUtZWNmODUyYTkyNTQ0XkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg,MCA Universal Home Video,R,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",15 Sep 1989,True,113 min,Sea of Love,movie,N/A,Richard Price,1989,tt0098273,6.8,"34,828",
16,"Sally Field, Dolly Parton, Shirley MacLaine, Daryl Hannah",Nominated for 1 Oscar. Another 2 wins & 6 nominations.,N/A,USA,25 Jul 2000,Herbert Ross,,"Comedy, Drama, Romance",English,56,"A young beautician, newly arrived in a small Louisiana town, finds work at the local salon, where a small group of women share a close bond of friendship, and welcome her into the fold.",https://m.media-amazon.com/images/M/MV5BMTkxMDE1MDY3N15BMl5BanBnXkFtZTgwOTAwNjYxMTE@._V1_SX300.jpg,Sony Pictures Home Entertainment,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",22 Nov 1989,True,117 min,Steel Magnolias,movie,N/A,"Robert Harling (screenplay), Robert Harling (play)",1989,tt0098384,7.3,"42,392",
17,"Ed Harris, Mary Elizabeth Mastrantonio, Michael Biehn, Leo Burmester",Won 1 Oscar. Another 8 wins & 15 nominations.,N/A,USA,07 Nov 2000,James Cameron,,"Adventure, Drama, Mystery, Sci-Fi, Thriller",English,62,A civilian diving team is enlisted to search for a lost nuclear submarine and face danger while encountering an alien aquatic species.,https://m.media-amazon.com/images/M/MV5BYWMzMDNlMDQtMTYyYi00OTM3LTllZDYtYThhMTk5MzNhZTRhXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,20th Century Fox Film Corporat,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",09 Aug 1989,True,145 min,The Abyss,movie,N/A,James Cameron,1989,tt0096754,7.6,"152,078",
18,"Kevin Costner, Amy Madigan, Gaby Hoffmann, Ray Liotta",Nominated for 3 Oscars. Another 7 wins & 10 nominations.,N/A,USA,01 Jun 2004,Phil Alden Robinson,,"Drama, Family, Fantasy, Sport",English,57,"An Iowa corn farmer, hearing voices, interprets them as a command to build a baseball diamond in his fields; he does, and the 1919 Chicago White Sox come.",https://m.media-amazon.com/images/M/MV5BNzk5OWY0YjAtYWU3ZS00Y2Q4LWFlNjItMzgwMTQ2MjIyMDFmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",05 May 1989,True,107 min,Field of Dreams,movie,http://www.fieldofdreamsdvd.com,"W.P. Kinsella (book), Phil Alden Robinson (screenplay)",1989,tt0097351,7.5,"100,784",
19,"John Candy, Jean Louisa Kelly, Gaby Hoffmann, Macaulay Culkin",N/A,N/A,USA,30 Jun 1998,John Hughes,,Comedy,English,51,"Bachelor and all round slob, Buck, babysits his brother's rebellious teenage daughter and her cute younger brother and sister.",https://m.media-amazon.com/images/M/MV5BMjIwOWVkNzMtZTIyZC00ZWM0LTg5MWYtMWYwYjVhZTM3MDMzXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,MCA Universal Home Video,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",16 Aug 1989,True,100 min,Uncle Buck,movie,N/A,John Hughes,1989,tt0098554,7.0,"76,751",
20,"Jim Belushi, Mel Harris, Kevin Tighe, Ed O'Neill",N/A,N/A,USA,08 Jun 1999,Rod Daniel,,"Action, Comedy, Crime",English,44,"To stop an elusive criminal, a maverick detective enlists the aid of a police dog who's an unusually intelligent smart alec.",https://m.media-amazon.com/images/M/MV5BN2JmZTVhNDctMmJiMi00ZjBiLThhYWYtNmFhNWM2ZDNjZDc0XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,MCA Universal Home Video,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",28 Apr 1989,True,101 min,K-9,movie,N/A,"Steven Siegel, Scott Myers",1989,tt0097637,6.0,"29,732",
21,"Richard Dreyfuss, Holly Hunter, Brad Johnson, John Goodman",3 nominations.,N/A,USA,20 Jul 1999,Steven Spielberg,,"Fantasy, Romance",English,50,The spirit of a recently deceased expert pilot mentors a newer pilot while watching him fall in love with the girlfriend that he left behind.,https://m.media-amazon.com/images/M/MV5BYjcwODQ0YmItZGUwNC00MDYxLWIyZmItMzQ5YTJlNzZlNzE0XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,MCA Universal Home Video,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",22 Dec 1989,True,122 min,Always,movie,N/A,"Jerry Belson (screenplay), Dalton Trumbo (screenplay ""A Guy Named Joe""), Frederick Hazlitt Brennan (screenplay adaptation ""A Guy Named Joe""), Chandler Sprague (story ""A Guy Named Joe""), David Boehm (story ""A Guy Named Joe"")",1989,tt0096794,6.4,"26,149",
22,"Tom Hanks, Bruce Dern, Carrie Fisher, Rick Ducommun",1 nomination.,N/A,USA,04 May 1999,Joe Dante,,"Comedy, Mystery, Thriller",English,45,An overstressed suburbanite and his fellow neighbors are convinced that the new family on the block are part of a murderous Satanic cult.,https://m.media-amazon.com/images/M/MV5BNWE1OGExYzQtYzRjOS00MmJhLWE3OTYtZjkzOTNlMjJlZTQ4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_SX300.jpg,MCA Universal Home Video,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",17 Feb 1989,True,101 min,The 'Burbs,movie,N/A,Dana Olsen,1989,tt0096734,6.9,"62,316",
23,"Chevy Chase, Hal Holbrook, Julianne Phillips, R. Lee Ermey",N/A,N/A,USA,02 Sep 2003,Michael Ritchie,,"Comedy, Crime, Mystery",English,40,"After receiving an inheritance in Louisiana, Los Angeles reporter Irvin Fletcher heads to the Belle Isle plantation where he gets himself into hilarious trouble.",https://m.media-amazon.com/images/M/MV5BMTg1YmE1MTAtY2VhMS00ZDZmLTg0MWMtY2MxNjRmMzU1ZjgwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,MCA Universal Home Video,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",17 Mar 1989,True,95 min,Fletch Lives,movie,N/A,"Gregory McDonald (character), Leon Capetanos",1989,tt0097366,6.1,"18,162",
24,"Eric Stoltz, Daphne Zuniga, Lee Richardson, John Getz",3 nominations.,N/A,USA,04 Oct 2005,Chris Walas,,"Horror, Sci-Fi",English,36,"The almost-human son of ""Brundlefly"" searches for a cure to his mutated genes while being monitored by a nefarious corporation that wishes to continue his father's experiments.",https://m.media-amazon.com/images/M/MV5BOTAyYjljNDctODg5Mi00YjYxLTk5MTMtZTk3MDk4NGZkN2MwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Twentieth Century Fox Home Entertainment,R,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",10 Feb 1989,True,105 min,The Fly II,movie,N/A,"Mick Garris (screenplay), Jim Wheat (screenplay), Ken Wheat (screenplay), Frank Darabont (screenplay), Mick Garris (story), George Langelaan (characters)",1989,tt0097368,5.0,"19,979",
25,"Danny Aiello, Ossie Davis, Ruby Dee, Richard Edson",Nominated for 2 Oscars. Another 18 wins & 14 nominations.,N/A,USA,30 Jun 2009,Spike Lee,,"Comedy, Drama","English, Italian, Spanish, Korean",91,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.",https://m.media-amazon.com/images/M/MV5BODA2MjU1NTI1MV5BMl5BanBnXkFtZTgwOTU4ODIwMjE@._V1_SX300.jpg,Universal Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '91/100'}]",21 Jul 1989,True,120 min,Do the Right Thing,movie,N/A,Spike Lee,1989,tt0097216,7.9,"75,839",
26,"Jack Lemmon, Ted Danson, Olympia Dukakis, Kathy Baker",Nominated for 1 Oscar. Another 1 win & 4 nominations.,N/A,USA,31 May 2005,Gary David Goldberg,,"Drama, Comedy",English,N/A,"John's mom has a heart attack and ends in hospital. John flies home to take care of his dad, teaching him to do things around the house, spends time with him and shows him how to live again without mom's control. John's son joins them.",https://m.media-amazon.com/images/M/MV5BNjcwOTE5MGMtNGU1ZC00M2RmLThlZjQtYzdiMTQ3MzY2MjQ1XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,MCA Universal Home Video,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}]",10 Nov 1989,True,117 min,Dad,movie,N/A,"William Wharton (novel), Gary David Goldberg (screenplay)",1989,tt0097142,6.2,"4,170",
27,"John Cusack, Ione Skye, John Mahoney, Lili Taylor",1 win & 3 nominations.,N/A,USA,05 Mar 2002,Cameron Crowe,,"Comedy, Drama, Romance",English,85,A noble underachiever and a beautiful valedictorian fall in love the summer before she goes off to college.,https://m.media-amazon.com/images/M/MV5BMTg5OTk1NjczNl5BMl5BanBnXkFtZTgwNTE3NjkzMTE@._V1_SX300.jpg,20th Century Fox Film Corporat,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",14 Apr 1989,True,100 min,Say Anything...,movie,N/A,Cameron Crowe,1989,tt0098258,7.4,"76,991",
28,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
29,"Burt Reynolds, Casey Siemaszko, Sheila Kelley, Lorraine Toussaint",2 nominations.,N/A,USA,16 Apr 2002,Bill Forsyth,,"Adventure, Comedy",English,N/A,"Professional thief Ernie takes Mike on as an apprentice, but while Mike clearly has ""larceny in his heart"", it will take him a long time to get as good as Ernie.",https://m.media-amazon.com/images/M/MV5BOGRlYWQxMGItNDc4YS00OTE2LWFkYzQtMjE2NzE0OTgyNmVlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Samuel Goldwyn Company,R,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}]",13 Oct 1989,True,94 min,Breaking In,movie,N/A,John Sayles,1989,tt0096976,6.1,"1,314",
30,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
31,"Patrick Swayze, Demi Moore, Tony Goldwyn, Stanley Lawrence",Won 2 Oscars. Another 16 wins & 23 nominations.,N/A,USA,24 Apr 2001,Jerry Zucker,,"Drama, Fantasy, Romance, Thriller",English,52,"After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.",https://m.media-amazon.com/images/M/MV5BMTU0NzQzODUzNl5BMl5BanBnXkFtZTgwMjc5NTYxMTE@._V1_SX300.jpg,Paramount Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",13 Jul 1990,True,127 min,Ghost,movie,N/A,Bruce Joel Rubin,1990,tt0099653,7.0,"180,338",
32,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard",Nominated for 2 Oscars. Another 10 wins & 4 nominations.,N/A,USA,05 Oct 1999,Chris Columbus,,"Comedy, Family",English,63,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.,https://m.media-amazon.com/images/M/MV5BMzFkM2YwOTQtYzk2Mi00N2VlLWE3NTItN2YwNDg1YmY0ZDNmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Twentieth Century Fox,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",16 Nov 1990,True,103 min,Home Alone,movie,http://www.foxhome.com/homealone/index_frames.html,John Hughes,1990,tt0099785,7.5,"407,763",
33,"Richard Gere, Julia Roberts, Ralph Bellamy, Jason Alexander",Nominated for 1 Oscar. Another 8 wins & 10 nominations.,N/A,USA,19 May 1998,Garry Marshall,,"Comedy, Romance",English,51,"A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love.",https://m.media-amazon.com/images/M/MV5BNjk2ODQzNDYxNV5BMl5BanBnXkFtZTgwMTcyNDg4NjE@._V1_SX300.jpg,Buena Vista,R,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",23 Mar 1990,True,119 min,Pretty Woman,movie,N/A,J.F. Lawton,1990,tt0100405,7.0,"262,010",
