ID,Actors,Country,Director,Genre,Metascore,Poster,Ratings,Title,Writer,Year,imdbID,imdbRating,imdbVotes,Characters
15,"Sally Field, Dolly Parton, Shirley MacLaine, Daryl Hannah",USA,Herbert Ross,"Comedy, Drama, Romance",56.0,https://m.media-amazon.com/images/M/MV5BMTkxMDE1MDY3N15BMl5BanBnXkFtZTgwOTAwNjYxMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",Steel Magnolias,"Robert Harling (screenplay), Robert Harling (play)",1989,tt0098384,7.3,"42,392","M'Lynn Eatenton, Truvy Jones, Ouiser Boudreaux, Annelle Dupuy Desoto, Clairee Belcher, Shelby Eatenton Latcherie, Drum Eatenton, Spud Jones, Jackson Latcherie, Sammy Desoto"
16,"Ed Harris, Mary Elizabeth Mastrantonio, Michael Biehn, Leo Burmester",USA,James Cameron,"Adventure, Drama, Mystery, Sci-Fi, Thriller",62.0,https://m.media-amazon.com/images/M/MV5BYWMzMDNlMDQtMTYyYi00OTM3LTllZDYtYThhMTk5MzNhZTRhXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",The Abyss,James Cameron,1989,tt0096754,7.6,"152,078","Bud Brigman, Lindsey Brigman, Lt. Coffey, Catfish De Vries, Alan 'Hippy' Carnes, Jammer Willis, 'Sonny' Dawson, Lisa 'One Night' Standing, Lew Finler (as Capt. Kidd Brewer Jr.), Wilhite"
17,"Kevin Costner, Amy Madigan, Gaby Hoffmann, Ray Liotta",USA,Phil Alden Robinson,"Drama, Family, Fantasy, Sport",57.0,https://m.media-amazon.com/images/M/MV5BNzk5OWY0YjAtYWU3ZS00Y2Q4LWFlNjItMzgwMTQ2MjIyMDFmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",Field of Dreams,"W.P. Kinsella (book), Phil Alden Robinson (screenplay)",1989,tt0097351,7.5,"100,784","Ray Kinsella, Annie Kinsella, Karin Kinsella, Shoeless Joe Jackson, Mark, Terence Mann, Dr. Archibald 'Moonlight' Graham, Archie Graham, John Kinsella, Feed Store Farmer"
18,"John Candy, Jean Louisa Kelly, Gaby Hoffmann, Macaulay Culkin",USA,John Hughes,Comedy,51.0,https://m.media-amazon.com/images/M/MV5BMjIwOWVkNzMtZTIyZC00ZWM0LTg5MWYtMWYwYjVhZTM3MDMzXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",Uncle Buck,John Hughes,1989,tt0098554,7.0,"76,751","Buck Russell, Tia Russell, Maizy Russell (as Gaby Hoffman), Miles Russell, Chanice Kobolowski, Cindy Russell, Bob Russell, Marcie Dahlgren-Frost, Bug, E. Roger Coswell"
19,"Jim Belushi, Mel Harris, Kevin Tighe, Ed O'Neill",USA,Rod Daniel,"Action, Comedy, Crime",44.0,https://m.media-amazon.com/images/M/MV5BN2JmZTVhNDctMmJiMi00ZjBiLThhYWYtNmFhNWM2ZDNjZDc0XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",K-9,"Steven Siegel, Scott Myers",1989,tt0097637,6.0,"29,732","Dooley (as James Belushi), Tracy, Lyman, Brannigan, Jerry Lee, Byers, Halstead, Gilliam, Freddie, Benny the Mule"
20,"Richard Dreyfuss, Holly Hunter, Brad Johnson, John Goodman",USA,Steven Spielberg,"Fantasy, Romance",50.0,https://m.media-amazon.com/images/M/MV5BYjcwODQ0YmItZGUwNC00MDYxLWIyZmItMzQ5YTJlNzZlNzE0XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",Always,"Jerry Belson (screenplay), Dalton Trumbo (screenplay ""A Guy Named Joe""), Frederick Hazlitt Brennan (screenplay adaptation ""A Guy Named Joe""), Chandler Sprague (story ""A Guy Named Joe""), David Boehm (story ""A Guy Named Joe"")",1989,tt0096794,6.4,"26,149","Pete Sandich, Dorinda Durston, Ted Baker, Al Yackey, Hap, Dave, Powerhouse, Nails, Rachel, Don"
21,"Tom Hanks, Bruce Dern, Carrie Fisher, Rick Ducommun",USA,Joe Dante,"Comedy, Mystery, Thriller",45.0,https://m.media-amazon.com/images/M/MV5BNWE1OGExYzQtYzRjOS00MmJhLWE3OTYtZjkzOTNlMjJlZTQ4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",The 'Burbs,Dana Olsen,1989,tt0096734,6.9,"62,316","Ray Peterson, Mark Rumsfield, Carol Peterson, Art Weingartner, Ricky Butler, Bonnie Rumsfield, Dr. Werner Klopek, Reuben Klopek, Hans Klopek, Walter Seznick"
22,"Chevy Chase, Hal Holbrook, Julianne Phillips, R. Lee Ermey",USA,Michael Ritchie,"Comedy, Crime, Mystery",40.0,https://m.media-amazon.com/images/M/MV5BMTg1YmE1MTAtY2VhMS00ZDZmLTg0MWMtY2MxNjRmMzU1ZjgwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",Fletch Lives,"Gregory McDonald (character), Leon Capetanos",1989,tt0097366,6.1,"18,162","Irwin 'Fletch' Fletcher, Hamilton ""Ham"" Johnson, Becky Culpepper, Jimmy Lee Farnsworth, Frank Walker, Ben Dover, Calculus Entropy, Marvin Gillet, Amanda Ray Ross, KKK Leader"
23,"Eric Stoltz, Daphne Zuniga, Lee Richardson, John Getz",USA,Chris Walas,"Horror, Sci-Fi",36.0,https://m.media-amazon.com/images/M/MV5BOTAyYjljNDctODg5Mi00YjYxLTk5MTMtZTk3MDk4NGZkN2MwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",The Fly II,"Mick Garris (screenplay), Jim Wheat (screenplay), Ken Wheat (screenplay), Frank Darabont (screenplay), Mick Garris (story), George Langelaan (characters)",1989,tt0097368,5.0,"19,979","Martin Brundle, Beth Logan, Anton Bartok, Stathis Borans, Shepard (as Frank Turner), Jainway, Scorby (as Gary Chalk), Veronica Quaife, 10 year old Martin, 4 year old Martin"
24,"Danny Aiello, Ossie Davis, Ruby Dee, Richard Edson",USA,Spike Lee,"Comedy, Drama",91.0,https://m.media-amazon.com/images/M/MV5BODA2MjU1NTI1MV5BMl5BanBnXkFtZTgwOTU4ODIwMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '91/100'}]",Do the Right Thing,Spike Lee,1989,tt0097216,7.9,"75,839","Sal, Da Mayor, Mother Sister, Vito, Buggin Out, Mookie, Radio Raheem, Pino, ML, Coconut Sid"
25,"Jack Lemmon, Ted Danson, Olympia Dukakis, Kathy Baker",USA,Gary David Goldberg,"Drama, Comedy",,https://m.media-amazon.com/images/M/MV5BNjcwOTE5MGMtNGU1ZC00M2RmLThlZjQtYzdiMTQ3MzY2MjQ1XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}]",Dad,"William Wharton (novel), Gary David Goldberg (screenplay)",1989,tt0097142,6.2,"4,170","Jake Tremont, John Tremont, Bette Tremont, Annie, Mario, Billy, Dr. Chad, Dr. Santana, Dr. Ethridge, Dr. Delibro"
26,"John Cusack, Ione Skye, John Mahoney, Lili Taylor",USA,Cameron Crowe,"Comedy, Drama, Romance",85.0,https://m.media-amazon.com/images/M/MV5BMTg5OTk1NjczNl5BMl5BanBnXkFtZTgwNTE3NjkzMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",Say Anything...,Cameron Crowe,1989,tt0098258,7.4,"76,991","Lloyd Dobler, Diane Court, James Court, Corey Flood, D.C., Rebecca (as Pamela Segall), Mike Cameron, Joe, Jason Dobler, Principal"
27,"Burt Reynolds, Casey Siemaszko, Sheila Kelley, Lorraine Toussaint",USA,Bill Forsyth,"Adventure, Comedy",,https://m.media-amazon.com/images/M/MV5BOGRlYWQxMGItNDc4YS00OTE2LWFkYzQtMjE2NzE0OTgyNmVlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}]",Breaking In,John Sayles,1989,tt0096976,6.1,"1,314","Ernie Mullins, Mike Lafebb, Carrie aka Fontaine, Delphine the Hooker, Johnny Scot, Poker Player, Shoes, Poker Player (as Harry Carey), Vincent Tucci, Attorney, District Attorney, Lou, Bob's Tire & Body, Bud, Bob's Tire & Body"
28,"Patrick Swayze, Demi Moore, Tony Goldwyn, Stanley Lawrence",USA,Jerry Zucker,"Drama, Fantasy, Romance, Thriller",52.0,https://m.media-amazon.com/images/M/MV5BMTU0NzQzODUzNl5BMl5BanBnXkFtZTgwMjc5NTYxMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",Ghost,Bruce Joel Rubin,1990,tt0099653,7.0,"180,338","Sam Wheat, Molly Jensen, Carl Bruner, Elevator Man, Elevator Man, Susan, Rose (as Martina Degnan), Mover (as Richard Kleber), Mover, Willie Lopez"
29,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard",USA,Chris Columbus,"Comedy, Family",63.0,https://m.media-amazon.com/images/M/MV5BMzFkM2YwOTQtYzk2Mi00N2VlLWE3NTItN2YwNDg1YmY0ZDNmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",Home Alone,John Hughes,1990,tt0099785,7.5,"407,763","Kevin, Harry, Marv, Peter, Marley, Kate, Linnie, Buzz, Uncle Frank, Megan"
30,"Richard Gere, Julia Roberts, Ralph Bellamy, Jason Alexander",USA,Garry Marshall,"Comedy, Romance",51.0,https://m.media-amazon.com/images/M/MV5BNjk2ODQzNDYxNV5BMl5BanBnXkFtZTgwMTcyNDg4NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",Pretty Woman,J.F. Lawton,1990,tt0100405,7.0,"262,010","Edward Lewis, Vivian Ward, James Morse, Philip Stuckey, Kit De Luca, David Morse, Elizabeth Stuckey, Bridget, Barney Thompson, Susan"
31,"Kevin Costner, Mary McDonnell, Graham Greene, Rodney A. Grant","USA, UK",Kevin Costner,"Adventure, Drama, Western",72.0,https://m.media-amazon.com/images/M/MV5BMTY3OTI5NDczN15BMl5BanBnXkFtZTcwNDA0NDY3Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",Dances with Wolves,"Michael Blake (screenplay), Michael Blake (novel)",1990,tt0099348,8.0,"222,363","Lieutenant Dunbar, Stands With A Fist, Kicking Bird, Wind In His Hair, Ten Bears (as Floyd Red Crow Westerman), Black Shawl, Timmons, Lieutenant Elgin, Major Fambrough, Stone Calf"
32,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox","USA, Mexico",Paul Verhoeven,"Action, Sci-Fi, Thriller",57.0,https://m.media-amazon.com/images/M/MV5BYzU1YmJjMGEtMjY4Yy00MTFlLWE3NTUtNzI3YjkwZTMxZjZmXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",Total Recall,"Philip K. Dick (short story ""We Can Remember It For You Wholesale""), Ronald Shusett (screen story), Dan O'Bannon (screen story), Jon Povill (screen story), Ronald Shusett (screenplay), Dan O'Bannon (screenplay), Gary Goldman (screenplay)",1990,tt0100802,7.5,"279,499","Quaid, Melina, Lori, Cohaagen, Richter, George / Kuato, Benny, Helm, Dr. Edgemar, McClane"
33,"Michael J. Fox, Christopher Lloyd, Mary Steenburgen, Thomas F. Wilson",USA,Robert Zemeckis,"Adventure, Comedy, Sci-Fi, Western",55.0,https://m.media-amazon.com/images/M/MV5BYjhlMGYxNmMtOWFmMi00Y2M2LWE5NWYtZTdlMDRlMGEzMDA3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",Back to the Future Part III,"Robert Zemeckis (characters), Bob Gale (characters), Robert Zemeckis (story), Bob Gale (story), Bob Gale (screenplay)",1990,tt0099088,7.4,"362,746","Marty McFly / Seamus McFly, Dr. Emmett Brown, Clara Clayton, Buford 'Mad Dog' Tannen / Biff Tannen, Maggie McFly / Lorraine McFly, Jennifer Parker, Chester the Bartender, Barbwire Salesman, Jeb, Saloon Old-Timer #3, Zeke, Saloon Old-Timer #2"
